DE_BE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded,BE_DE,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded
13,-49.30030823,-33.56650162,71.49092102,-31.23656464,42.3868866,-57.58639145,60.68294525,-0.118601136,13,54.00775528,-6.420588017,62.14492035,10.73106003
14,-42.61505127,-29.79828453,71.31504059,-32.82621002,28.65974617,-72.03221893,60.43639374,-0.445130199,14,38.68314362,-7.558116913,62.66999054,10.34657383
15,-44.59560776,-26.44770241,71.09492493,-31.04447365,29.21204948,-78.20413208,60.74206543,0.630412996,15,36.56648254,-8.203170776,62.23871613,10.829772
16,-46.3625412,-26.54110909,71.39642334,-30.04706764,29.63899994,-76.76318359,61.22791672,-0.088083215,16,38.78517914,-5.744487762,61.40331268,13.30677605
17,-46.51353836,-27.63215828,71.39642334,-30.04706764,32.78097916,-72.59617615,61.10398102,-0.459981501,17,40.71661758,-5.328852177,62.71956635,10.8256197
18,-46.51713562,-27.95897675,73.23270416,-27.38465691,37.8743782,-60.36001968,60.81685638,-2.37046361,18,40.53596497,-6.043501377,63.29904556,10.53936386
19,-46.61505127,-28.24011803,75.45652771,-34.4990921,37.83555222,-59.85076523,61.75724792,-13.91716766,19,40.95624542,-6.687736988,62.74881744,2.296278
20,-46.57339096,-28.40346146,73.2724762,-32.63674927,37.69033432,-59.99356842,61.75724411,-13.91716385,20,39.94781494,-6.968036175,62.74881744,2.296286345
21,-45.79432678,-28.84241676,73.56634521,-32.76135254,33.01971054,-70.59667969,61.50505066,-13.86042976,21,45.70285416,-4.993103981,62.43756866,2.375773907
22,-45.70375061,-28.75846863,71.32208252,-29.31727028,33.08116913,-70.56628418,61.73431396,-14.54101181,22,46.07358551,-4.91003418,63.19058228,2.012967348
23,-46.02125931,-29.21372986,74.93642426,-39.86948395,36.79946136,-60.53377914,63.1805954,-18.4247551,23,42.08221817,-6.615217209,65.27311707,1.255945444
24,-73.02416992,-43.12146759,73.67446136,-32.58912277,54.3509407,-45.46646118,63.21465683,-19.91306305,24,62.65245056,21.02770042,65.06758118,1.452001452
25,-73.52295685,-42.57741928,73.21984863,-27.5977478,54.79849243,-41.97769928,63.13269806,-18.50359535,25,63.20438766,23.11192894,64.28562927,2.072378635
26,-73.67018127,-42.31855011,75.93119049,-32.07430267,73.49069214,4.132291794,63.2539711,-18.91750336,26,42.3888092,44.05186462,64.98155975,1.447281837
27,-80.07440186,-28.44137955,71.09963226,-30.46265984,65.24720764,28.7562027,63.32876587,-18.13321877,27,45.53935242,46.97394943,63.13898087,1.763650298
28,-79.68850708,-26.68705559,72.28617096,-31.4433651,42.18435287,46.85520935,64.10578918,-18.42396545,28,27.67757416,48.91455841,61.6477623,1.499507308
29,-78.55413818,-23.35824585,75.89157104,-33.93739319,31.11060143,63.37465286,65.46016693,-1.125091195,29,20.80717087,47.24889374,61.93175507,14.37226391
30,-78.56565857,-23.54997063,75.58637238,-32.66563797,32.50151825,59.93273544,65.41656494,-0.755083501,30,20.70732689,47.52979279,61.96899796,14.47109604
31,-78.2541275,-21.04671669,75.58637238,-32.66563797,17.82172203,67.59062195,65.41716003,-0.755155504,31,7.282939911,42.73892212,61.96897507,14.47139931
32,-78.6727829,-20.86328125,76.84788513,-30.88487816,17.07453918,66.67980957,64.11653137,0.94460988,32,7.756299973,44.27651596,61.48974991,14.52661419
33,-77.56027985,-23.81586647,75.14687347,-30.97849083,28.89364624,61.90456772,63.17227173,-22.16913033,33,20.43707085,46.36881256,63.27620697,-0.647894561
34,-76.8224411,-20.81055641,75.54969788,-31.34508896,12.20245361,64.73604584,65.55728149,-0.754160047,34,6.938851833,42.46962357,62.03574753,14.53156757
35,-78.0144043,-18.58616638,79.98097229,-35.21850967,-1.356587172,62.83890152,62.57395935,7.383914948,35,4.689334869,45.04002762,60.23081589,15.44410419
36,-78.09796143,-19.1936264,77.70613098,-30.64377022,0.660925031,65.36778259,63.76199341,1.300558925,36,4.943048477,45.53822708,63.67163849,13.02035999
37,-78.0986557,-19.193964,78.37340546,-33.68441391,0.660902143,65.36772919,65.61821747,-0.9578228,37,4.899234295,45.61967087,64.35964203,12.99005032
38,-78.75786591,-19.3878479,79.84533691,-27.48932076,-0.759866416,67.91120911,57.752285,15.78607845,38,8.931419373,45.37233734,58.97383118,15.90555096
