GE_GL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,GL_GE,F_source_embedded,,F_target_embedded,
125,-12.98935604,-66.09302521,39.96253204,-16.73375511,28.90350914,41.09064865,27.18466568,26.25341606,125,-78.56623077,-8.372826576,-14.24657536,40.31893539
126,-13.05795956,-65.58951569,18.15820885,9.413275719,29.02497292,41.42612839,-0.658733726,88.65632629,126,-83.6940155,-12.42276287,-14.56524944,39.84106827
127,-13.75276375,-62.81259537,18.15237808,9.476799965,36.16604996,38.73717499,-16.16278839,86.44059753,127,-85.00704193,-2.141549826,-18.17056274,40.03358078
128,-13.79086971,-63.159729,17.66781044,9.398816109,36.40877914,38.53668213,-11.47702599,87.33205414,128,-83.09574127,-6.185715675,-18.23372078,40.09129333
129,-13.90012646,-63.46928787,37.72858429,10.45634079,27.03082657,28.07259178,-2.576373816,87.95010376,129,-78.92093658,-7.217319012,-20.01382446,40.83866882
130,-13.99259663,-62.82710648,21.21216202,-8.133619308,37.06518555,39.10651016,4.068408489,-68.77032471,130,-41.70913315,-60.73064423,-19.87492371,40.55891418
131,-13.2451849,-62.55685806,24.92607117,-10.99510574,11.16122723,84.51064301,-23.42178345,-59.47031784,131,-27.11988068,-72.67242432,-14.14342022,38.78797531
132,-12.61425781,-61.76916885,23.26538658,-10.24910545,-14.82513714,86.79669189,-9.519392014,-65.44087219,132,-31.31307602,-69.56184387,-9.407206535,39.75704193
133,-13.65073395,-61.55260849,20.49308014,-8.224006653,-8.127056122,88.08033752,5.797094822,-68.5760498,133,-41.53903198,-60.73075485,-13.85625076,37.37498474
134,-32.70487213,-76.55845642,19.70619774,-7.450428009,-36.39381027,-60.98064423,13.72350788,-65.41772461,134,-51.14680099,-53.88417053,-25.41410446,-72.90326691
135,-36.04727936,-76.48814392,21.40324974,-8.970280647,-52.86797714,-56.52511978,-0.980126441,-70.35634613,135,-39.27038956,-62.29351807,-9.290772438,-76.86273193
136,-35.42659378,-76.56244659,17.0863018,-6.845843792,-46.36291885,-56.61375046,16.05585098,-64.01086426,136,-53.53371811,-51.27838516,-10.10619068,-76.74152374
137,-32.45911026,-76.98500061,16.36552048,-6.140952587,-31.90380096,-61.144207,27.12293053,-56.95429993,137,-59.13817978,-45.16479111,-25.57767296,-72.86014557
138,-12.54879284,-65.57622528,16.00619316,10.91821766,9.898991585,85.01002502,-41.59295273,70.25547028,138,-71.95399475,29.43505478,-11.1967268,40.94819641
139,-12.76230812,-65.75977325,3.658616304,13.9578619,-1.458112955,88.64859772,-18.47896385,85.51434326,139,-27.56894112,35.66506958,-12.37179089,40.66113281
140,-13.12923241,-62.49872971,3.131048441,14.10586834,11.73084641,84.67198181,-26.93431473,82.73797607,140,-31.59577179,39.07624817,-14.1752739,38.97777939
141,-18.99745369,-60.7854805,1.75823307,14.69433784,35.81427002,39.01034164,-34.95986557,78.23007965,141,-6.492379189,33.98710251,-20.92649841,41.16794586
142,-12.49333858,-62.49914932,1.077106357,14.97756386,-2.475413799,88.74429321,-43.62389755,71.56272125,142,-6.276881695,35.14719391,-9.869050026,40.25798035
143,-7.641266823,-59.62210464,-1.135093689,15.84697533,-50.81579208,36.16701508,-57.68393707,45.52973938,143,36.71473312,23.60016441,36.14814377,21.28752899
144,-35.17483521,-76.89388275,-8.322384834,18.44295692,-48.89570618,-59.52643204,-44.56314468,-9.855125427,144,35.81335831,25.25130653,-9.051706314,-76.68490601
145,-36.73883438,-76.5515213,22.73991203,-9.525696754,-55.7375679,-52.5968399,1.201351523,-70.590065,145,-40.92365646,-61.07589722,1.48831737,-74.78673553
146,-35.39912033,-77.57991028,17.65918541,-7.845594883,-55.9958725,-53.29828644,16.15036583,-64.19252014,146,-55.80841064,-46.9631691,5.591956139,-71.15433502
