DE_DL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,DL_DE,F_source_embedded,,F_target_embedded,
47,2.859078169,-42.66914368,-23.34490013,31.2700367,19.11134148,19.87575912,26.49503517,-20.08953667,47,35.89318466,50.82341766,20.35527229,-12.25621223
48,10.34300709,-62.35491562,4.262440681,-12.84431744,33.09897614,22.03351212,35.25235367,-15.51068592,48,46.93471146,48.84230042,14.66733074,-26.28754425
49,-72.91795349,-17.0372448,-16.80508232,15.39542294,33.00165939,22.46800804,35.25231171,-15.51063824,49,47.69842911,40.36581421,14.66732597,-26.28743935
50,-9.950153351,-59.71717834,15.05331802,13.91398716,32.29509354,22.37785912,29.75311852,-18.94043922,50,33.13056946,50.29342651,13.14641571,-29.14365768
51,-9.689879417,-79.14864349,29.77467155,9.224511147,17.84455299,19.61014366,28.96180534,-18.97547913,51,15.22692966,58.09196091,13.35542774,-28.86865044
52,18.20014572,-43.41482544,-3.18089962,7.045461655,19.27119446,20.05062485,28.49589729,-18.74028587,52,21.21289063,54.07069778,16.45551682,-17.00637245
53,-7.121680737,-53.8419342,-45.49739838,55.84181976,32.87272644,24.39904404,34.0891571,-16.82333946,53,33.51651382,51.63859177,20.430233,-12.12106323
54,-7.407853603,-73.13788605,-36.41440201,67.55286407,33.83938217,23.7990818,32.04798889,-14.41955471,54,33.77102661,50.09647369,13.93987465,-27.86143875
55,-51.01003265,-67.79137421,40.96796417,14.05255795,33.46754456,24.35208511,31.4987545,-16.01777077,55,38.27013397,50.59473419,14.0216465,-27.29828262
56,-46.4001503,-26.68174934,-1.970618725,47.11222839,56.58368301,22.61923981,30.64723969,-16.59196854,56,50.72566986,43.87332916,18.45703506,-13.80194569
57,33.26161194,-17.95623398,80.18500519,7.65288353,68.33715057,18.25874329,32.19623184,-10.71370316,57,50.63799286,44.44879532,16.7670536,-25.64941597
58,-65.27823639,17.28308296,35.18638611,76.75158691,68.33715057,18.25874329,29.44463539,-19.01519585,58,50.64156342,44.44903564,17.62359238,-27.75432205
59,-68.66843414,-14.84715843,-4.864099503,47.96376419,68.37734222,18.13587189,25.31567955,-19.48324394,59,50.91985321,43.05531693,17.20943069,-26.95408058
60,35.93560028,-34.58251572,17.35762024,-12.58423233,37.43082428,23.78129005,25.3156929,-19.48327255,60,37.30080414,51.02570343,17.20943069,-26.95408058
61,17.9923687,-48.41973495,-1.06169045,4.849410534,19.55540466,21.28375626,30.6329689,-20.04670143,61,37.21676636,50.96485901,0.80108124,-34.14599991
62,53.94007874,-67.92987823,64.62290192,37.41400146,39.1965065,22.83022118,28.9821949,-19.56188393,62,44.89706802,47.8038826,13.39201164,-36.25707245
63,-70.74719238,14.97364235,46.6846199,74.87254333,50.61904526,21.59791756,29.62571526,-12.06865978,63,50.92633057,42.88177109,12.9774437,-35.95978165
