HI24_MB21,x_source_embedded,,x_target_embedded,,F_source_embedded,,F_target_embedded,,MB21_HI24,F_source_embedded,,F_target_embedded,
85,-64.09642792,-46.95401764,25.01540565,-33.29652405,-16.03594017,-65.67346191,-5.137724876,-88.57818604,85,-17.87540817,-49.59163666,79.60484314,-4.435585976
86,-64.29872131,-48.57890701,19.69801712,-15.0287571,-17.27199936,-63.52417755,-5.389215469,-80.48361969,86,-35.31448746,-45.94139099,93.41317749,3.074076653
87,-68.68994904,10.35603714,16.32398224,-4.693840027,12.68752098,75.43806458,-3.169970036,-77.85165405,87,-46.99533844,-57.62283707,-31.4542923,-32.00455093
88,9.083257675,-85.45005798,10.4145565,1.668815255,16.2600193,-6.396978378,20.22286224,4.545577526,88,-6.632697582,28.11964417,-4.218581676,-53.74250412
89,-36.59800339,-47.31118774,23.31186676,-15.14502335,-11.94603729,-59.89719009,-2.62015748,-87.71866608,89,-67.86274719,23.10190201,30.26329994,40.42622375
90,-72.49974823,-45.05120087,6.612702847,18.09922791,-12.46139908,-64.39255524,-6.94977951,-76.93109131,90,-15.24506187,19.70851326,-14.06748295,57.81564331
91,-62.11930084,-47.77673721,28.85165405,-17.58962059,-16.98867416,-63.17601776,-3.551613331,-85.04853058,91,-56.37210464,-54.32519531,-9.919033051,-64.35162354
92,-63.48334503,-42.06238937,30.72763634,-17.53458214,-10.33469963,-56.79489517,4.368164063,-75.77670288,92,-29.4926033,-9.897375107,-19.1394558,49.89787292
93,-68.05316925,-43.91880035,15.58941364,-4.114497662,-12.29976177,-63.80804825,-3.279226065,-77.78331757,93,33.37725067,-28.320858,43.90735245,55.91535187
94,-68.67368317,-46.85084915,26.7499218,-33.75660324,-16.80239677,-67.0401001,-3.675150394,-89.23865509,94,7.215395927,18.29554939,-19.45645714,-86.608284
95,-69.50337982,-44.88586044,28.42266655,-24.29788589,-13.41787243,-65.66581726,8.551405907,-78.0742569,95,30.96777534,-57.24540329,79.59371185,30.2532711
96,21.28655624,-19.08861923,14.69852066,16.80906677,-8.481210709,-82.46008301,40.18845367,65.61849213,96,47.584198,-0.560207486,87.58685303,-7.959030151
97,-68.10774231,-46.52671432,23.03166771,-38.09360123,-16.49736786,-67.13128662,-10.50644207,-84.20698547,97,53.15229034,-40.19985199,-30.06285095,15.2109127
98,19.96709633,-68.94011688,-30.68264008,63.86846542,16.44225883,-6.459571838,29.35756493,-64.92749786,98,-9.947559357,22.81030083,-26.27797127,51.35516357
99,-67.17546844,-42.81803131,25.24767685,-20.56095886,-11.59712505,-62.41068649,-3.204930305,-87.86504364,99,31.32275772,-22.94970512,-2.952051878,73.83729553
100,-68.13745117,-44.97016144,25.39953041,-35.7439537,-14.40756893,-65.80000305,-4.906271935,-89.23643494,100,40.09249496,-49.89787674,-22.37969017,62.03862
101,-66.74217987,-46.0577507,18.99551392,-14.36383152,-15.99232197,-67.04457092,-3.616899252,-79.50379181,101,49.04827118,-48.55640793,-59.94240952,6.986483574
102,-49.82190323,-61.77551651,-18.43242455,70.17523193,-14.62692833,-61.25477982,35.59362793,-82.46879578,102,-54.7429657,-57.2914238,28.02648735,58.4961586
103,-71.69894409,43.67215347,15.96773148,-4.995486259,-8.326321602,84.91331482,-5.241978168,-78.18939972,103,-19.14164543,-49.4537468,51.86233902,0.203136593
104,4.679509163,-82.81454468,-23.48258972,36.42684555,11.73602867,-14.87093163,-9.472000122,81.36100006,104,21.05975723,25.03933907,92.05144501,3.323376894
105,-63.19748306,-37.31009674,-38.72004318,61.05751801,-8.823908806,-53.14266205,21.57869911,-66.87059784,105,-83.05977631,-34.42629623,-68.48310852,13.18943977
106,-50.76174164,-0.71524936,16.34136963,-3.309972525,15.56250954,-0.605683684,36.34975815,-3.598526001,106,-70.9201889,-45.09278488,-41.10196304,64.89581299
107,-62.94128418,-44.94177246,30.34587479,-26.78894424,-13.16590786,-59.81435013,11.23621178,-78.76700592,107,27.85582161,-77.54766846,-30.83294106,8.876932144
108,-58.36530304,-43.41958618,20.49128723,-13.30653667,-11.92415047,-65.40750885,-2.404898643,-78.01928711,108,41.97866821,-58.8075943,2.716505289,-5.798366547
109,4.665391922,-82.96141815,18.73854637,68.6646347,11.58622551,-14.95382118,-35.80543137,60.16743088,109,-33.07319641,-21.8627491,87.668396,7.144731045
110,-42.34469986,15.87198257,15.59691048,-6.927109241,11.74299526,76.7193985,-7.393755913,-81.02015686,110,37.4953537,-75.52888489,-13.09907055,-68.20326996
111,-61.10490417,-46.3319931,-38.71934509,60.41283417,-13.86263561,-59.3016777,22.43346786,-70.12780762,111,1.296943665,22.47048187,-23.63173103,-81.25244141
112,25.91955948,-23.02991104,3.255964994,30.65023232,4.467547417,-80.79241943,20.19377136,2.984169006,112,-56.06776047,-50.89849854,71.5171051,30.89201927
113,-68.18025208,-44.08970642,60.5671196,28.51629829,-12.4577179,-63.88870621,22.86352539,46.69050598,113,47.33040619,-43.30895233,-14.55392742,42.54340744
114,9.261855125,-85.42612457,18.28481102,-0.384726882,16.65577316,-5.805212021,39.47360611,-9.392466545,114,-30.90903091,-37.99112701,-16.37236595,51.59035492
115,-50.10692596,-62.48656082,41.66736603,-43.44320679,-15.96604729,-61.42185593,37.26210022,-59.21355438,115,42.63301086,-23.61412621,41.49101257,52.17969513
116,-67.17044067,-43.14170074,25.75932503,-20.77742767,-11.69854355,-61.46689987,4.542465687,-80.51841736,116,17.66808891,26.90463638,-2.777863979,-54.50582504
117,-62.97907257,-37.22976685,49.83355713,45.76691055,-7.896372318,-48.22533798,30.48205757,58.37784195,117,48.27630997,-57.5717926,55.42498016,26.56567001
118,-53.75709534,-29.82289314,23.13710976,-3.320205688,3.563688278,-81.74319458,47.62569046,-25.63372421,118,-33.59934616,-28.03216171,-3.121819735,-36.0538559
119,-49.34911728,-61.98658752,-26.09134674,51.63990021,-13.94588852,-59.81982422,8.577202797,-80.29845428,119,-53.05098724,-31.51993561,-18.40368462,0.176145211
120,-64.29705811,-42.2656517,-41.22957993,59.34873581,-10.39012814,-56.73353958,21.15927124,-72.93048096,120,17.49884987,24.64782715,-26.01996231,74.73690796
121,-65.33770752,-44.30075836,28.70101738,-29.0675602,-12.92929173,-63.15733337,8.766738892,-81.84684753,121,44.87804794,-46.68838882,-7.820734501,-30.35783958
122,-20.19351959,-61.03861618,13.25965309,5.830516815,10.8073988,-14.76206493,34.88238525,58.89603806,122,-50.52136993,31.27691078,-14.03935623,-28.51524734
123,-48.82751846,-58.89996338,39.36146164,27.11810875,-13.56395435,-61.64925766,48.91617966,34.39449692,123,-15.28836823,24.1130867,79.87632751,28.78894997
124,-70.09425354,-43.78355408,64.92293549,-2.981737137,-12.42306709,-63.62094498,13.45926952,13.11257458,124,-58.80754852,-21.28521156,-23.81804848,56.42241287
125,-68.38679504,-45.09051514,18.1588459,-3.18744421,-13.59018421,-64.53112793,39.27790833,-9.708029747,125,-75.79116058,-35.07654953,-64.34107971,9.626643181
126,15.33372879,-68.20747375,17.28755379,18.5761528,17.73832703,-8.567602158,39.10538101,63.90236664,126,41.72309113,-50.18524933,87.68318939,-7.272289276
127,-63.37794113,-43.8039093,24.90610886,-7.376082897,-11.07729435,-58.11434937,3.238132954,-76.98825836,127,29.53832245,-7.805643559,88.15249634,-11.61179733
128,-57.71523666,31.41240311,4.033958435,51.15019608,-7.315169811,83.34210205,-29.35774803,65.50659943,128,-14.14463615,-0.85199523,84.53421021,-11.19638729
129,-65.50675964,-44.74368286,-36.96348572,75.1044693,-13.80525684,-64.34979248,39.03170013,-75.42350769,129,43.35522461,-24.83010292,-8.847108841,-47.60493851
130,-70.28829956,10.76020718,68.30042267,22.79706764,13.07292747,75.5032196,10.31624603,33.1655426,130,-64.57180786,-48.15930176,-8.421037674,-35.85470581
131,4.930087566,-83.0225296,28.86596489,-25.6384201,11.7588625,-14.54332733,8.595025063,-79.44932556,131,25.06591606,-74.57836151,-5.270440102,42.12090683
132,-63.44852448,-45.52542496,28.69512367,-23.1996479,-14.31501293,-60.93139267,8.019634247,-77.45789337,132,-51.96325684,19.38811874,12.52316284,82.65538025
133,-57.70248032,-31.22777367,-37.96802139,61.20785904,4.915524483,-29.83189964,23.05439377,-67.38458252,133,-29.94924736,-29.28802299,45.30625916,53.43119812
134,-19.15276909,11.74516964,18.70032501,-2.975608826,18.61000824,-1.928555131,39.74573135,-10.41955376,134,45.09181976,-64.3453598,9.008838654,-34.4052124
135,-19.48060989,11.34758091,-17.8460598,68.89344025,18.26894188,-4.776372433,33.10842133,-77.08946228,135,39.9841423,-49.87763214,-61.12434006,6.337138176
136,8.171425819,-84.43573761,50.71380997,10.8118391,15.64879417,-6.823666573,-48.17904282,5.276453018,136,51.24143219,-27.93660736,-6.962473392,-26.10616302
137,-19.6994915,11.17472839,28.56524849,-27.99195862,18.27268219,-2.322439909,7.160558701,-81.26410675,137,17.68630791,-82.9307785,-35.95191956,2.444491625
138,-72.74053192,-44.00328827,31.73652077,-17.63978767,-11.68960381,-56.27653503,4.712134361,-75.15061188,138,49.38357162,-42.1138916,-7.934276581,-26.62833214
139,-63.37548447,-44.39186859,23.00319862,-32.5416069,-12.78094482,-61.22280502,-9.2585392,-83.79382324,139,-35.01457977,-3.052056074,-27.7622242,21.34396172
140,-72.8025589,-44.18545914,-18.63086319,70.49227142,-11.44947815,-55.16139221,35.60045242,-82.18515778,140,32.82972717,-61.9589119,33.28208923,57.92483521
141,-63.5377655,-44.98035812,30.10828781,-15.73680878,-13.4988203,-63.36057281,3.452896118,-76.56019592,141,-63.18193436,-3.608408689,21.58346367,41.65263748
142,-30.62685394,-22.78450584,21.31469345,-14.04851341,2.624859571,-81.61195374,-0.110599056,-79.01347351,142,18.66706085,-83.94694519,-5.101118088,84.89826965
143,8.333848,-84.48860931,40.96615601,30.30373573,16.03816605,-6.392029762,8.636947632,38.93094254,143,-68.22520447,-45.31443787,40.9146843,55.18854141
144,-68.02835846,-44.32051468,-39.81229401,59.69195938,-12.81739712,-63.9843483,21.21489906,-68.92812347,144,38.98495865,-50.93052673,-67.07637787,13.02965641
145,-63.47283936,-43.39452744,19.35461235,-14.34907818,-11.80128288,-61.45622253,-4.60327673,-80.12423706,145,50.87659454,-33.76887894,-67.54896545,21.22004128
146,-53.68281555,-29.82905006,22.23522377,-14.5200634,3.491948128,-81.78967285,2.42091012,-79.47814178,146,29.1324234,-16.1231308,-5.597893238,47.5708847
147,-63.09000015,-44.17477417,80.58557129,-0.176053107,-12.81425095,-62.17753983,-12.1610117,-19.33784485,147,10.4408474,13.04490566,-17.31871033,-6.222581387
148,6.024420738,-83.11319733,24.82575798,-36.13031387,12.09868336,-13.96140194,-5.827737808,-88.00301361,148,31.88752174,19.67565346,-29.69198799,29.89217186
149,-65.73075867,40.28893661,8.168959618,29.93585205,-72.02846527,-8.265913963,12.54022408,83.10370636,149,-78.05445099,-46.73081589,-28.46068573,-77.34833527
150,-68.85928345,-44.18677521,9.046097755,31.31540108,-12.55319786,-65.36314392,38.45445633,65.38787079,150,30.12532616,-29.3639164,4.667019844,-53.34773254
151,-48.16004562,-59.13479614,-19.74037743,32.50614166,-11.60840511,-51.0596199,-5.952810287,80.78018188,151,-29.94924927,-29.28801918,5.712019444,58.84329987
152,-40.96721268,15.78462124,29.91483688,-26.46710396,11.55130672,77.48521423,10.39583874,-78.08211517,152,-39.39878464,44.25816345,-29.1905899,16.55268097
153,9.362127304,-85.48027039,30.96633148,-24.42905235,16.08211136,-5.730265617,50.58197021,-53.37146759,153,-36.56071472,44.50434875,7.081893921,-48.72843552
154,-57.92715073,-43.18923187,22.09832382,37.72479248,0.580230713,-80.01657867,5.179231167,60.65870285,154,-64.20918274,-54.61739731,-15.41555882,-19.48360634
155,-68.69294739,-46.38969803,27.54726219,-32.38656616,-15.16879559,-65.57048035,14.36476707,-78.28821564,155,15.56615639,-5.965583324,70.07815552,20.86275482
156,-8.940547943,-64.09812927,17.12449074,14.1957407,19.30660629,-14.72056293,30.29648972,59.59278107,156,-64.31858826,-3.864661932,-59.91168976,6.065175533
157,-69.79600525,11.48503399,26.72676086,9.499288559,-8.282999992,83.28204346,47.68494034,31.79483223,157,29.69880486,-22.30315018,92.07968903,-8.200514793
158,-70.57381439,-41.4842453,19.13079834,69.96311188,-9.912658691,-55.06356812,-25.3106308,-22.75280952,158,-14.96484566,20.00904655,-18.76076889,-18.10407639
159,2.165792227,-9.357433319,73.39318085,7.260338783,27.46406937,-4.223702908,69.1353302,8.7468853,159,32.67586899,13.70128918,81.25164795,31.20739746
160,9.226225853,-83.6109314,23.43737221,-14.41249275,16.81150055,-5.872433186,3.469140291,-78.9846344,160,53.56323242,-57.6953392,-17.04407883,-7.354350567
161,-68.99152374,10.7091856,37.44550705,55.54145432,-7.863336563,83.84265137,33.24842834,62.66389084,161,-17.24710464,19.12298203,86.16674805,4.988940716
162,-59.45376968,-32.82756805,22.51341629,-13.76246834,-4.033049107,-54.00980377,1.021836162,-79.10264587,162,-16.13819504,18.29204178,-24.21385384,-81.70964813
163,-7.206751823,-62.6703186,25.54081154,49.31171799,10.75678921,-14.62418652,-71.51979065,24.91784096,163,-39.15982437,0.567383945,-27.80680084,46.62425232
164,-63.00681305,-36.88901138,29.82997704,-28.24494934,-7.087657928,-46.84408951,10.93228149,-79.59844971,164,18.57392883,-82.91407776,-30.89533997,53.20336533
