BE_BL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,BL_BE,F_source_embedded,,F_target_embedded,
119,-53.16558456,-71.55853271,37.57988739,59.7130928,-30.97265816,-2.68953681,34.56559372,-8.826709747,119,25.43822861,-79.30450439,5.761665821,-63.39730072
120,-46.6257782,-73.40827179,32.54608536,64.48929596,18.21094131,-13.96257401,47.21456146,-4.096985817,120,26.93122864,-76.20668793,6.093623638,-71.39567566
121,-42.76908875,-79.43709564,38.2012291,62.9587822,54.756073,17.29094887,55.6757431,14.38844013,121,29.97851753,-78.24646759,5.65653038,-77.06227112
122,-48.20653915,-70.3957901,24.36667442,54.85295105,-32.79591751,-1.403150558,24.37337303,-11.33398247,122,22.33622551,-73.76618195,3.326100588,-84.19773102
123,-48.67547226,-71.5253067,34.51944351,62.68095779,-28.7368412,-2.660917759,22.01418114,-13.98336506,123,23.72174835,-80.4017334,10.12781334,-67.52008057
124,-51.10897827,-72.88954926,38.81658554,58.79956436,20.3381176,-14.66639996,43.71755219,-7.847396851,124,29.06888771,-82.17386627,9.060318947,-66.78045654
125,-46.26159286,-75.14071655,38.42914963,56.47875977,23.58416557,-11.35520458,40.42863846,-8.646343231,125,23.09852028,-78.4295578,3.422035456,-82.3003006
126,-41.34890366,-85.81781769,39.96952057,66.36955261,54.20303345,6.197827339,55.51106262,4.497597694,126,35.67210388,-81.82783508,24.42022324,-74.08153534
127,-49.04290771,-74.06215668,35.46112823,62.22286987,19.25270653,-14.74522877,26.19194603,-12.66186905,127,24.32994461,-80.48435211,11.73600292,-67.77142334
128,-55.20859528,-70.74198151,39.54021835,56.57214355,-34.69861603,-3.293966055,38.57333755,-8.825387001,128,28.04283905,-82.73378754,4.867116928,-61.7125206
129,-43.25913239,-80.75143433,41.63383484,71.91345215,-18.37797737,2.831625462,13.96594906,48.8875618,129,31.59546661,-73.68421173,3.898501635,-70.8664093
130,-43.55704117,-80.06082916,38.50545502,59.81975555,33.2389679,-7.524804592,40.64797211,-8.565501213,130,29.03706551,-82.30731964,21.80925179,-73.311409
131,-44.8529892,-77.78960419,32.31663132,66.88195801,24.58305931,-10.48400116,52.34563446,2.064085484,131,28.65501976,-74.84831238,7.645955563,-72.64585114
132,-30.86733246,-71.49269867,28.43366241,65.47093964,-21.55325699,3.974669456,54.24593353,8.989300728,132,23.07486916,-68.97589111,-6.876146317,-82.34024811
133,-41.36692047,-86.01873016,40.11706543,66.74851227,47.38486862,-0.976964056,55.3850174,16.01803207,133,36.37335587,-81.93774414,26.97052383,-73.79850769
134,-56.48666,-70.16257477,38.83362579,53.58501053,-40.89453125,-12.86409569,-29.50840759,-3.365806818,134,20.84145355,-81.59632111,3.141395807,-58.77029037
135,24.61998558,-84.15479279,-11.10864162,90.49436188,35.0982399,25.97334099,15.46760082,59.0119133,135,56.59401703,-63.81069946,54.75070572,-25.82539368
136,-54.96971893,-70.84649658,39.20953369,55.19439316,-33.75056839,-2.958745718,37.9641571,-9.001320839,136,27.44304466,-82.42086029,5.036500454,-62.02304459
137,-41.21171188,-86.21139526,40.42313385,66.95106506,50.24362946,-0.161926135,56.10829926,14.73626804,137,37.08462524,-82.86788177,27.71837997,-74.80152893
138,-49.32547379,-74.86000824,38.30984116,60.41087341,24.44578362,-12.6368742,35.997612,-7.466210842,138,26.15620613,-80.39463806,7.755212784,-70.91017914
139,-44.80270386,-77.76719666,31.91923141,67.33034515,21.21019936,-11.29947662,52.67195129,3.195108652,139,28.33091545,-73.47584534,4.276769638,-79.38236237
140,-54.68717194,-70.96761322,39.06280136,54.94985199,-32.37158966,-2.718553066,37.16989136,-9.174092293,140,27.10634232,-82.28301239,5.024218559,-61.88566208
141,-44.57786942,-78.44077301,32.90623474,65.97564697,33.98122406,-6.748039246,55.0437088,4.467585564,141,30.52601242,-77.87597656,11.03339195,-71.81998444
142,-55.63560867,-70.56230164,40.12540817,56.7067337,-40.08324051,-10.1772089,57.40809631,12.45126629,142,31.0392952,-82.64797974,4.635695457,-61.42176437
143,-45.56637955,-74.38890076,31.76560593,66.78431702,21.41314507,-11.5570488,46.85237122,-1.039707661,143,27.3324852,-73.60187531,3.408467054,-81.18493652
