HI24_HI22,x_source_embedded,,x_target_embedded,,F_source_embedded,,F_target_embedded,,HI22_HI24,F_source_embedded,,F_target_embedded,
14,-64.34170532,-37.49147415,-66.56422424,-32.76758194,9.312087059,-97.18552399,5.233895779,-99.30414581,14,-45.0845871,62.36717606,-47.36184692,55.44640732
15,-46.20178986,-29.16155815,-41.77497482,-39.04575729,25.69271088,-89.085495,15.92385101,-88.04881287,15,-48.5446701,45.38469315,-46.36743927,32.90397263
16,-26.25332451,-14.08142567,-61.88187027,-31.62291145,17.90412331,-90.88960266,8.231836319,-94.69002533,16,-47.38134003,56.66421509,-49.9033165,47.80803299
17,-66.05527496,-35.81529999,-66.63848114,-31.60633659,9.468898773,-97.85144806,8.646082878,-99.30480194,17,-45.68970871,62.04080963,-47.64713669,54.39550781
18,-68.62811279,-39.201828,-69.27864838,-37.56376266,8.100477219,-95.18791962,3.442804575,-98.76186371,18,-45.96126556,62.66576767,-50.79923248,52.92877579
19,-5.617922306,5.303995132,-5.687005043,7.796434879,10.17001438,-91.89362335,8.630976677,-92.33906555,19,-39.5322876,53.71943283,-40.91048431,54.22730637
20,-54.44019699,-30.69095802,-65.20897675,-30.03307152,10.55788231,-92.93186188,6.962332249,-97.6498642,20,-44.6907196,60.54228592,-49.14055634,52.87745285
21,-67.59078217,-32.42638397,-68.97996521,-32.02592087,6.819367409,-99.50211334,3.861881256,-99.90711212,21,-44.1246109,63.54989243,-46.17466736,61.7001915
22,-66.58499146,-39.05017853,-67.15879059,-32.70915985,7.318430424,-96.85570526,5.310791016,-99.34490967,22,-45.27498245,62.35088348,-46.88754654,57.65969086
23,-68.23917389,-38.88892746,-69.21187592,-37.84074783,11.81361103,-91.33376312,3.83113575,-97.71186066,23,-46.50349045,59.64631653,-50.59155655,45.56880188
24,-56.6774559,-33.84399796,-67.49420166,-36.97077942,14.69541454,-94.65631104,4.382634163,-97.82309723,24,-46.00954437,60.38800049,-48.3342514,51.91968155
25,-55.69259644,-30.6746254,-66.36206818,-30.45551682,8.505347252,-97.32969666,3.946127415,-97.90263367,25,-43.98495865,61.82057953,-46.79371643,57.38939285
26,-67.38995361,-38.66527176,-68.55607605,-32.34002686,6.537026405,-98.78240204,4.104210854,-100.1901703,26,-44.24876022,64.0056839,-46.41524887,62.02716446
27,-54.6086998,-31.1697197,-65.39271545,-30.81922722,12.32487011,-91.66231537,7.215512753,-98.3275528,27,-46.38513947,58.66127777,-49.37239456,48.88748169
28,-27.52511215,-19.83304977,-41.91427612,-39.04663467,29.50115776,-81.89199829,19.06407166,-82.8992691,28,-48.17891312,42.71399307,-43.34642792,32.45653152
29,43.46219635,33.86911392,-5.491154671,8.121441841,17.32523537,-82.25984192,9.888810158,-91.39797974,29,-39.13530731,53.62815094,-39.21241379,53.48376465
30,-67.42784119,-35.81639481,-69.26461029,-32.56660461,7.522236824,-99.6680603,3.688018322,-100.1797714,30,-44.19055176,64.16311646,-45.72246933,63.02694702
31,-55.81754303,-30.1510582,-64.41314697,-31.18342018,15.83923149,-93.78533173,7.594478607,-97.80719757,31,-46.46017456,58.47778702,-49.20028687,50.48495483
32,-55.97381592,-32.7258606,-63.41744995,-33.49718857,17.01703453,-92.85378265,7.01922369,-96.92975616,32,-45.895401,59.96878052,-49.76605606,49.39229965
33,-62.84762955,-38.13421249,-65.13983154,-32.4670639,12.39601612,-94.18455505,6.15002346,-98.33129883,33,-45.21298218,61.26435852,-48.02123642,53.66975021
34,-56.39241028,-36.18451309,-64.98667145,-33.11499405,14.14228249,-95.57157135,5.780982018,-96.68218231,34,-46.8862381,58.08248901,-50.87152481,52.70349503
35,-61.9720993,-30.15511513,-62.30086517,-30.13175964,31.2260952,-83.74893188,9.64973259,-91.69580078,35,-47.82980728,46.9717598,-38.89657593,24.96069336
36,42.84459305,34.37804413,-4.312995434,6.179053783,30.31624794,-73.11888123,18.20619965,-81.3743515,36,-40.49608612,52.78725052,-40.92184067,52.51376343
37,-23.84564972,-14.24805546,-60.90816879,-31.70258331,10.71389866,-90.67139435,11.08166409,-92.92125702,37,-48.80120087,48.32017136,-48.78753281,49.56303787
